tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt5496926,movie,The Dreamseller,O Vendedor de Sonhos,0,2016,,98,Drama,6.1,2244,nm0598173,Hindi,"Thought-Provoking,Emotional"
tt9239882,movie,Kadaram Kondan,Kadaram Kondan,0,2019,,121,"Action,Crime,Thriller",5.6,2444,nm4301161,Hindi,"Gritty,Action-Packed,Suspenseful"
tt0074050,tvMiniSeries,Sandokan,Sandokan,0,1976,1976.0,286,"Action,Adventure,Drama",7.4,1846,nm0813177,Hindi,"Action-Packed,Adventurous,Thought-Provoking"
tt22726060,tvSeries,EGO - Erkege Güven Olmaz,EGO: Erkege Güven Olmaz,0,2023,2023.0,100,Drama,5.8,2349,nm3481335,Hindi,"Thought-Provoking,Emotional"
tt8129610,tvSeries,Hackerville,Hackerville,0,2018,2018.0,60,"Action,Thriller",7.1,1903,nm1136816,Hindi,"Intense,Action-Packed,Thrilling"
tt0093505,movie,Masks,Masques,0,1987,,100,"Crime,Drama,Mystery",6.8,1981,nm0001031,Hindi,"Gritty,Mysterious,Intense"
tt21142926,movie,Vichitram,Vichitram,0,2022,,138,"Drama,Horror,Thriller",6.0,2244,nm6800145,Malayalam,"Dark,Suspenseful,Intense"
tt13433814,tvSeries,My Dad the Bounty Hunter,My Dad the Bounty Hunter,0,2023,2023.0,22,"Action,Adventure,Animation",7.3,1842,nm1440583,Hindi,"Whimsical,Fun,Action-Packed"
tt3725026,movie,Kanchana 2,Kanchana 2,0,2015,,166,"Comedy,Horror",5.5,2426,nm0706485,Telugu,"Light-Hearted,Scary,Dark"
tt13630174,movie,Writing with Fire,Writing with Fire,0,2021,,92,Documentary,7.3,1827,nm4424010,Hindi,Educational
tt5712058,movie,Premam,Premam,0,2016,,157,"Comedy,Drama,Romance",6.4,2079,nm6649966,Hindi,"Fun,Romantic,Light-Hearted"
tt21339860,movie,Heartsong,Gönül,0,2022,,95,"Comedy,Drama,Music",5.8,2294,nm4446337,Hindi,"Light-Hearted,Emotional,Thought-Provoking"
tt1634165,tvMiniSeries,B Gata H Kei: Yamada's First Time,B-gata H-kei,0,2010,2010.0,25,"Animation,Comedy,Drama",7.1,1859,nm10799775,Hindi,"Whimsical,Fun,Light-Hearted"
tt15210874,movie,Bommala Koluvu,Bommala Koluvu,0,2022,,100,"Crime,Drama,Mystery",7.4,1774,nm3632433,Hindi,"Gritty,Mysterious,Intense"
tt0419146,movie,A Soap,En soap,0,2006,,104,"Comedy,Drama",6.4,2051,nm0278803,Hindi,"Light-Hearted,Emotional,Thought-Provoking"
tt1821692,movie,United Six,United Six,0,2011,,100,"Action,Drama,Thriller",7.4,1771,nm4273332,Hindi,"Action-Packed,Suspenseful,Intense"
tt8052768,tvMiniSeries,Convicting a Murderer,Convicting a Murderer,0,2023,2023.0,100,Documentary,7.8,1679,nm3271628,Hindi,Educational
tt6193550,tvSeries,Beyhadh,Beyhadh,0,2016,2017.0,22,"Drama,Romance,Thriller",7.2,1818,nm4406069,Hindi,"Suspenseful,Romantic,Intense"
tt27795377,movie,Kadhalikka Neramillai,Kadhalikka Neramillai,0,2025,,140,Drama,6.1,2144,nm5894951,Tamil,"Thought-Provoking,Emotional"
tt9050310,movie,Slash/Back,Slash/Back,0,2022,,86,"Adventure,Horror,Sci-Fi",5.7,2291,nm3451430,Hindi,"Dark,Mind-Bending,Adventurous"
tt0283750,tvSeries,The Jungle Book: The Adventures of Mowgli,Janguru bukku: Shônen Môguri,0,1989,1990.0,24,"Adventure,Animation,Drama",7.5,1741,nm0475866,Tamil,"Whimsical,Fun,Adventurous"
tt12078076,movie,Jai Bhajrangi,Bhajarangi 2,0,2021,,156,"Action,Fantasy",6.5,2007,nm5664775,Hindi,"Epic,Action-Packed,Thrilling"
tt20838498,movie,Thai Massage,Thai Massage,0,2022,,124,Comedy,6.2,2101,nm4726499,Hindi,"Light-Hearted,Fun"
tt16442566,tvMiniSeries,Family Matter,Family Matter,0,2021,2024.0,45,"Comedy,Drama,Family",8.0,1625,nm2974769,Hindi,"Fun,Light-Hearted,Thought-Provoking"
tt11310670,movie,Madeleine Collins,Madeleine Collins,0,2021,,102,"Drama,Thriller",6.2,2088,nm1201906,Hindi,"Thought-Provoking,Emotional,Suspenseful"
tt14230846,movie,Saunkan Saunkne,Saunkan Saunkne,0,2022,,150,"Comedy,Drama,Romance",6.3,2046,nm5500664,Hindi,"Fun,Romantic,Light-Hearted"
tt0888503,movie,Imsai Arasan 23rd Pulikecei,Imsai Arasan 23rd Pulikecei,0,2006,,142,"Comedy,Musical",7.8,1652,nm2435980,Tamil,"Light-Hearted,Uplifting,Fun"
tt7564016,movie,Chase in the dark,Chase in the dark,0,2022,,143,"Crime,Mystery,Thriller",7.6,1695,nm9377197,Hindi,"Mysterious,Intense,Gritty"
